template,mode,unknownCount,unknownFeatures,targetFeatures,emitted
bio-grayscale-blackTopHat-whiteTopHat-64x64x64,triangular,2,BlackTopHat:type=UInt8:radius=3:windowSize=7;WhiteTopHat:type=UInt8:radius=3:windowSize=7,BlackTopHat:type=UInt8:radius=3:windowSize=7;WhiteTopHat:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-blackTopHat-grayClosing-64x64x64,triangular,2,BlackTopHat:type=UInt8:radius=3:windowSize=7;GrayscaleClosing:type=UInt8:radius=3:windowSize=7,BlackTopHat:type=UInt8:radius=3:windowSize=7;GrayscaleClosing:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-morphGradient-grayErode-64x64x64,triangular,2,GrayscaleErode:type=UInt8:radius=3:windowSize=7;MorphologicalGradient:type=UInt8:radius=3:windowSize=7,GrayscaleErode:type=UInt8:radius=3:windowSize=7;MorphologicalGradient:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-blackTopHat-grayOpening-64x64x64,triangular,2,BlackTopHat:type=UInt8:radius=3:windowSize=7;GrayscaleOpening:type=UInt8:radius=3:windowSize=7,BlackTopHat:type=UInt8:radius=3:windowSize=7;GrayscaleOpening:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-blackTopHat-grayErode-64x64x64,triangular,2,BlackTopHat:type=UInt8:radius=3:windowSize=7;GrayscaleErode:type=UInt8:radius=3:windowSize=7,BlackTopHat:type=UInt8:radius=3:windowSize=7;GrayscaleErode:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-grayClosing-morphGradient-64x64x64,triangular,2,GrayscaleClosing:type=UInt8:radius=3:windowSize=7;MorphologicalGradient:type=UInt8:radius=3:windowSize=7,GrayscaleClosing:type=UInt8:radius=3:windowSize=7;MorphologicalGradient:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-grayClosing-whiteTopHat-64x64x64,triangular,2,GrayscaleClosing:type=UInt8:radius=3:windowSize=7;WhiteTopHat:type=UInt8:radius=3:windowSize=7,GrayscaleClosing:type=UInt8:radius=3:windowSize=7;WhiteTopHat:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-grayClosing-blackTopHat-64x64x64,triangular,2,BlackTopHat:type=UInt8:radius=3:windowSize=7;GrayscaleClosing:type=UInt8:radius=3:windowSize=7,BlackTopHat:type=UInt8:radius=3:windowSize=7;GrayscaleClosing:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-grayClosing-grayOpening-64x64x64,triangular,2,GrayscaleClosing:type=UInt8:radius=3:windowSize=7;GrayscaleOpening:type=UInt8:radius=3:windowSize=7,GrayscaleClosing:type=UInt8:radius=3:windowSize=7;GrayscaleOpening:type=UInt8:radius=3:windowSize=7,False
bio-grayscale-grayClosing-grayDilate-64x64x64,triangular,2,GrayscaleClosing:type=UInt8:radius=3:windowSize=7;GrayscaleDilate:type=UInt8:radius=3:windowSize=7,GrayscaleClosing:type=UInt8:radius=3:windowSize=7;GrayscaleDilate:type=UInt8:radius=3:windowSize=7,False
